condition,run,mean_rms
blueyellow,1,10.243836834989128
blueyellow,2,9.998040723915816
blueyellow,3,9.968203431527972
blueyellow,4,8.236002693206197
blueyellow,5,9.549775597904286
normal,1,8.729539370436854
normal,2,8.960163738719608
normal,3,7.7794674557592085
normal,4,8.112011534346692
normal,5,8.176319991061805
redgreen,1,12.796683090943885
redgreen,2,8.89889208785193
redgreen,3,9.098216426602974
redgreen,4,9.220951156215161
redgreen,5,10.110917267566926
