participant,condition,run,trial_repeat,class_id,true_label,global_trial_index,max_abs,max_ptp,reject_max_abs,reject_max_ptp,reject_trial
1,blue_yellow,1,0,0,0,640,56.19061695845578,76.7452892272783,False,False,False
1,blue_yellow,1,0,1,1,641,95.68560538139563,123.98763454042498,False,False,False
1,blue_yellow,1,0,2,2,642,49.568284087914066,88.03849357232643,False,False,False
1,blue_yellow,1,0,3,3,643,81.16805047543907,90.00189218704888,False,False,False
1,blue_yellow,1,0,4,4,644,51.577425966758724,73.35976831935514,False,False,False
1,blue_yellow,1,0,5,5,645,36.05921576804024,53.29086969449253,False,False,False
1,blue_yellow,1,0,6,6,646,116.54416769726362,134.82147032751143,False,False,False
1,blue_yellow,1,0,7,7,647,31.081816743728044,51.48953117844893,False,False,False
1,blue_yellow,1,0,8,8,648,44.11144974252254,82.81733212271453,False,False,False
1,blue_yellow,1,0,9,9,649,34.7584282958097,56.4169954244846,False,False,False
1,blue_yellow,1,0,10,10,650,37.72471745926931,54.307952844422495,False,False,False
1,blue_yellow,1,0,11,11,651,105.57793982068713,120.70055271853073,False,False,False
1,blue_yellow,1,0,12,12,652,55.80896143100788,71.5663304545556,False,False,False
1,blue_yellow,1,0,13,13,653,83.49718209249035,124.77225043205388,False,False,False
1,blue_yellow,1,0,14,14,654,52.2120705059083,92.98107192112434,False,False,False
1,blue_yellow,1,0,15,15,655,110.48071854437023,144.384823337869,False,False,False
1,blue_yellow,1,0,16,16,656,32.9984265588814,56.283766514551154,False,False,False
1,blue_yellow,1,0,17,17,657,49.826128554213554,68.43767306797022,False,False,False
1,blue_yellow,1,0,18,18,658,63.248737783641694,85.01206164675723,False,False,False
1,blue_yellow,1,0,19,19,659,104.3568055787805,122.23415565136891,False,False,False
1,blue_yellow,1,0,20,20,660,58.585538445688904,81.7956776119917,False,False,False
1,blue_yellow,1,0,21,21,661,53.68191089172835,86.26756467773129,False,False,False
1,blue_yellow,1,0,22,22,662,45.11555766513673,76.12621997365363,False,False,False
1,blue_yellow,1,0,23,23,663,34.95916021381992,68.68461073004099,False,False,False
1,blue_yellow,1,0,24,24,664,69.5234241824682,89.7227300905602,False,False,False
1,blue_yellow,1,0,25,25,665,26.62857057240225,49.984606885161696,False,False,False
1,blue_yellow,1,0,26,26,666,79.7434233073911,121.6390678343449,False,False,False
1,blue_yellow,1,0,27,27,667,39.519949389144685,53.759998032069234,False,False,False
1,blue_yellow,1,0,28,28,668,67.22134593679806,89.97611667925865,False,False,False
1,blue_yellow,1,0,29,29,669,30.05065619086268,47.60452649645015,False,False,False
1,blue_yellow,1,0,30,30,670,57.08907037309744,79.36867796733527,False,False,False
1,blue_yellow,1,0,31,31,671,35.82981647249307,65.13168133784598,False,False,False
1,blue_yellow,1,1,0,0,672,59.65418981009569,87.18620539740509,False,False,False
1,blue_yellow,1,1,1,1,673,38.273899718450096,71.55518180392858,False,False,False
1,blue_yellow,1,1,2,2,674,32.028745761973106,49.255853774981546,False,False,False
1,blue_yellow,1,1,3,3,675,94.2994665297961,102.76996610631575,False,False,False
1,blue_yellow,1,1,4,4,676,33.8337246342414,62.46481370344098,False,False,False
1,blue_yellow,1,1,5,5,677,27.44362316185784,48.56380794161835,False,False,False
1,blue_yellow,1,1,6,6,678,83.69992694660178,105.02113819022193,False,False,False
1,blue_yellow,1,1,7,7,679,60.845724031619135,88.60048536192164,False,False,False
1,blue_yellow,1,1,8,8,680,43.560059947814345,86.43732159923009,False,False,False
1,blue_yellow,1,1,9,9,681,84.624534665007,110.18082614054056,False,False,False
1,blue_yellow,1,1,10,10,682,33.86659791728715,56.658321729700695,False,False,False
1,blue_yellow,1,1,11,11,683,47.002774260469245,77.72247826650448,False,False,False
1,blue_yellow,1,1,12,12,684,104.01440717931189,133.66658474195918,False,False,False
1,blue_yellow,1,1,13,13,685,94.37216828170124,116.4019669644118,False,False,False
1,blue_yellow,1,1,14,14,686,86.71130369135173,111.3202227586394,False,False,False
1,blue_yellow,1,1,15,15,687,74.09979913975178,100.57894599157862,False,False,False
1,blue_yellow,1,1,16,16,688,81.8183889821164,110.13745497678042,False,False,False
1,blue_yellow,1,1,17,17,689,77.62484690857035,95.45258841582972,False,False,False
1,blue_yellow,1,1,18,18,690,69.63904731624253,111.42070388846868,False,False,False
1,blue_yellow,1,1,19,19,691,66.47239700948657,83.39301258594485,False,False,False
1,blue_yellow,1,1,20,20,692,45.67729698653526,65.75945937479354,False,False,False
1,blue_yellow,1,1,21,21,693,84.96989831745068,101.32120090366281,False,False,False
1,blue_yellow,1,1,22,22,694,73.56276644006692,93.81961553954957,False,False,False
1,blue_yellow,1,1,23,23,695,86.2516358927186,115.00036196338607,False,False,False
1,blue_yellow,1,1,24,24,696,66.8984164528031,80.56100959536373,False,False,False
1,blue_yellow,1,1,25,25,697,65.56588567991007,95.70779083951216,False,False,False
1,blue_yellow,1,1,26,26,698,77.86368993521012,93.4005625161275,False,False,False
1,blue_yellow,1,1,27,27,699,85.51060969425988,105.62513224113069,False,False,False
1,blue_yellow,1,1,28,28,700,34.94761048428431,57.825604454093835,False,False,False
1,blue_yellow,1,1,29,29,701,34.01008634811508,57.83769592137267,False,False,False
1,blue_yellow,1,1,30,30,702,40.12446215490753,68.03062377333757,False,False,False
1,blue_yellow,1,1,31,31,703,106.0964318474855,134.23682668340172,False,False,False
1,blue_yellow,2,0,0,0,704,42.33548793815999,83.9397552476967,False,False,False
1,blue_yellow,2,0,1,1,705,90.00797047735166,113.2371670160789,False,False,False
1,blue_yellow,2,0,2,2,706,63.89567707252572,86.98566051057395,False,False,False
1,blue_yellow,2,0,3,3,707,60.652103471958725,79.57214271131663,False,False,False
1,blue_yellow,2,0,4,4,708,71.39719625349015,93.9063721208658,False,False,False
1,blue_yellow,2,0,5,5,709,64.25229833877958,112.57809798123105,False,False,False
1,blue_yellow,2,0,6,6,710,67.40755666856906,106.82225599697809,False,False,False
1,blue_yellow,2,0,7,7,711,35.121583634731216,54.47604422850482,False,False,False
1,blue_yellow,2,0,8,8,712,44.388313770197485,65.04078005056924,False,False,False
1,blue_yellow,2,0,9,9,713,49.249543224475275,83.43814068859383,False,False,False
1,blue_yellow,2,0,10,10,714,74.62670928333135,110.29078368239917,False,False,False
1,blue_yellow,2,0,11,11,715,33.77024279567889,54.17205130679832,False,False,False
1,blue_yellow,2,0,12,12,716,67.26831693119294,92.66246544052586,False,False,False
1,blue_yellow,2,0,13,13,717,58.05610613123132,77.13104694563998,False,False,False
1,blue_yellow,2,0,14,14,718,81.80600067238404,100.37843823253118,False,False,False
1,blue_yellow,2,0,15,15,719,75.86647579719425,94.1802443215199,False,False,False
1,blue_yellow,2,0,16,16,720,80.49432765580538,97.56866997007366,False,False,False
1,blue_yellow,2,0,17,17,721,77.86833946901706,89.40418959774995,False,False,False
1,blue_yellow,2,0,18,18,722,93.17015944100972,120.44010737068771,False,False,False
1,blue_yellow,2,0,19,19,723,35.03616005347581,62.000006705892645,False,False,False
1,blue_yellow,2,0,20,20,724,29.557530279673742,50.09680205602474,False,False,False
1,blue_yellow,2,0,21,21,725,48.12127580200576,65.51359112091437,False,False,False
1,blue_yellow,2,0,22,22,726,88.7783602153061,112.98394953520268,False,False,False
1,blue_yellow,2,0,23,23,727,47.77481801180622,76.22006419129573,False,False,False
1,blue_yellow,2,0,24,24,728,70.38893583478998,94.61301456535433,False,False,False
1,blue_yellow,2,0,25,25,729,29.511253788848865,50.007329649002486,False,False,False
1,blue_yellow,2,0,26,26,730,106.60496940731105,121.37221204068737,False,False,False
1,blue_yellow,2,0,27,27,731,75.1036588637108,103.97690492265866,False,False,False
1,blue_yellow,2,0,28,28,732,74.73936763181989,103.37900232204144,False,False,False
1,blue_yellow,2,0,29,29,733,83.37400129171887,104.18602170932607,False,False,False
1,blue_yellow,2,0,30,30,734,44.92635748265563,72.89054442401857,False,False,False
1,blue_yellow,2,0,31,31,735,76.59574800349641,110.47373822088922,False,False,False
1,blue_yellow,2,1,0,0,736,32.939484731035215,58.980888541430176,False,False,False
1,blue_yellow,2,1,1,1,737,89.8733515289941,123.9745347905729,False,False,False
1,blue_yellow,2,1,2,2,738,74.62205638291238,101.61264490183376,False,False,False
1,blue_yellow,2,1,3,3,739,29.071364699617398,54.54313767448251,False,False,False
1,blue_yellow,2,1,4,4,740,251.38995786384,312.98837349945654,True,True,True
1,blue_yellow,2,1,5,5,741,91.28758484419255,113.80133668891351,False,False,False
1,blue_yellow,2,1,6,6,742,50.601492572887054,58.806158986832884,False,False,False
1,blue_yellow,2,1,7,7,743,48.27009325744604,75.5270185001413,False,False,False
1,blue_yellow,2,1,8,8,744,46.96897783686563,83.50915542268763,False,False,False
1,blue_yellow,2,1,9,9,745,74.13383478675878,102.47683773302757,False,False,False
1,blue_yellow,2,1,10,10,746,47.27258390605813,75.43899123849775,False,False,False
