participant,condition,run,trial_repeat,class_id,true_label,predicted_label,correct,rho_target,rho_max,rho_margin
1,blue_yellow,1,0,0,0,1,0,0.490630677966579,0.4906306835839064,-5.617327381024495e-09
1,blue_yellow,1,0,1,1,5,0,0.32403320556903425,0.416736142780708,-0.09270293721167372
1,blue_yellow,1,0,2,2,1,0,0.55003470347599,0.5500347037216565,-2.456664871530734e-10
1,blue_yellow,1,0,3,3,4,0,0.2975929429001815,0.4519906531190984,-0.1543977102189169
1,blue_yellow,1,0,4,4,27,0,0.4173776517152917,0.4788275653553625,-0.06144991364007085
1,blue_yellow,1,0,5,5,4,0,0.4791918948734358,0.47919204633716245,-1.5146372667196317e-07
1,blue_yellow,1,0,6,6,5,0,0.5517040374834814,0.5517041097677527,-7.228427134631232e-08
1,blue_yellow,1,0,7,7,4,0,0.5325739046896271,0.5325739658348765,-6.11452494192477e-08
1,blue_yellow,1,0,8,8,10,0,0.4851359435425994,0.4851359435425998,-3.885780586188048e-16
1,blue_yellow,1,0,9,9,12,0,0.44067204283043754,0.5320353835457463,-0.09136334071530877
1,blue_yellow,1,0,10,10,9,0,0.5046141833569587,0.5046141902775074,-6.920548689670625e-09
1,blue_yellow,1,0,11,11,1,0,0.49956234319039056,0.5301737613555534,-0.03061141816516283
1,blue_yellow,1,0,12,12,2,0,0.42803379403289643,0.47507902785889883,-0.0470452338260024
1,blue_yellow,1,0,13,13,1,0,0.41431254077676805,0.5562777684137733,-0.14196522763700525
1,blue_yellow,1,0,14,14,16,0,0.42328806677714814,0.44016352127219577,-0.016875454495047626
1,blue_yellow,1,0,15,15,3,0,0.35642352471101546,0.5270448304624845,-0.17062130575146905
1,blue_yellow,1,0,16,16,16,1,0.6139939353403837,0.6139939353403837,1.1102230246251565e-16
1,blue_yellow,1,0,17,17,17,1,0.4257941374130691,0.4257941374130691,5.551115123125783e-16
1,blue_yellow,1,0,18,18,0,0,0.45710210818018143,0.49580381682729446,-0.03870170864711303
1,blue_yellow,1,0,19,19,19,1,0.5208612393904776,0.5208612393904776,1.1102230246251565e-16
1,blue_yellow,1,0,20,20,3,0,0.5116800937068585,0.5528775302049469,-0.04119743649808838
1,blue_yellow,1,0,21,21,12,0,0.3722614518715566,0.5077221580880348,-0.13546070621647816
1,blue_yellow,1,0,22,22,14,0,0.33282385857805896,0.46976675726513284,-0.13694289868707388
1,blue_yellow,1,0,23,23,20,0,0.5440072867958292,0.5440072905411849,-3.745355692252872e-09
1,blue_yellow,1,0,24,24,24,1,0.43236496487850273,0.43236496487850273,0.0
1,blue_yellow,1,0,25,25,26,0,0.5074449874667757,0.5074449882642011,-7.974254589981911e-10
1,blue_yellow,1,0,26,26,5,0,0.28165060887270477,0.613084935320649,-0.33143432644794424
1,blue_yellow,1,0,27,27,0,0,0.2810320486429525,0.4889494815379179,-0.2079174328949654
1,blue_yellow,1,0,28,28,2,0,0.4211966326287972,0.5014908981386498,-0.08029426550985258
1,blue_yellow,1,0,29,29,24,0,0.4431931821879175,0.4607209864590152,-0.017527804271097736
1,blue_yellow,1,0,30,30,14,0,0.28889597744861634,0.4689017035747403,-0.18000572612612398
1,blue_yellow,1,0,31,31,2,0,0.41832135976563833,0.4853781171326761,-0.06705675736703776
1,blue_yellow,1,1,0,0,3,0,0.4593796225638154,0.4593796245305563,-1.966740881265139e-09
1,blue_yellow,1,1,1,1,1,1,0.5076672086455651,0.5076672086455651,0.0
1,blue_yellow,1,1,2,2,31,0,0.4138748096384659,0.42944877292518596,-0.01557396328672006
1,blue_yellow,1,1,3,3,4,0,0.41429664640955044,0.4519774651936093,-0.03768081878405888
1,blue_yellow,1,1,4,4,13,0,0.47584677846098233,0.5230460604567703,-0.047199281995787934
1,blue_yellow,1,1,5,5,5,1,0.4612943201926154,0.4612943201926154,0.0
1,blue_yellow,1,1,6,6,0,0,0.4247765784675381,0.5239689044478294,-0.09919232598029132
1,blue_yellow,1,1,7,7,9,0,0.4276375963438124,0.4923870973969529,-0.06474950105314053
1,blue_yellow,1,1,8,8,11,0,0.47035975609049635,0.47035983075614257,-7.46656462213835e-08
1,blue_yellow,1,1,9,9,10,0,0.5064463309653001,0.5064464257368146,-9.477151452497168e-08
1,blue_yellow,1,1,10,10,11,0,0.5406650300449792,0.5406650500201682,-1.9975188947363165e-08
1,blue_yellow,1,1,11,11,9,0,0.5364441889494261,0.5364441889494265,-3.3306690738754696e-16
1,blue_yellow,1,1,12,12,5,0,0.45167850208957816,0.5208312199707157,-0.06915271788113753
1,blue_yellow,1,1,13,13,0,0,0.41585051190444317,0.4843654756000229,-0.06851496369557974
1,blue_yellow,1,1,14,14,0,0,0.3681046652639429,0.505767452806016,-0.13766278754207306
1,blue_yellow,1,1,15,15,1,0,0.35946665907128234,0.5131914854884108,-0.15372482641712842
1,blue_yellow,1,1,16,16,16,1,0.6717375727588957,0.6717375727588957,5.551115123125783e-16
1,blue_yellow,1,1,17,17,9,0,0.3491948417888175,0.4649491070611597,-0.11575426527234223
1,blue_yellow,1,1,18,18,2,0,0.30680797844984975,0.5139313818153393,-0.2071234033654895
1,blue_yellow,1,1,19,19,1,0,0.3904505579435759,0.5453142092269606,-0.1548636512833847
1,blue_yellow,1,1,20,20,10,0,0.28632852592151375,0.48425365912840695,-0.1979251332068932
1,blue_yellow,1,1,21,21,4,0,0.5754681928957813,0.6392290898411287,-0.06376089694534737
1,blue_yellow,1,1,22,22,11,0,0.35326311647846315,0.5881292062113194,-0.23486608973285622
1,blue_yellow,1,1,23,23,1,0,0.34534249843844533,0.4672188667204659,-0.12187636828202059
1,blue_yellow,1,1,24,24,12,0,0.3399805969845484,0.4532593429787978,-0.11327874599424936
1,blue_yellow,1,1,25,25,2,0,0.3285069687794964,0.4708270702977329,-0.14232010151823649
