participant,condition,run,trial_repeat,class_id,true_label,predicted_label,correct,rho_target,rho_max,rho_margin,best_incorrect_score,band1_target_score,band2_target_score,band3_target_score
1,blue_yellow,1,0,0,0,1,0,0.9498251760717418,0.9498253353829018,-1.5931116004175294e-07,0.9498253353829018,0.6593863576201303,0.5808599959495359,0.5982569212742235
1,blue_yellow,1,0,1,1,0,0,1.0358939527354767,1.0358943064781347,-3.5374265805465654e-07,1.0358943064781347,0.65422219076109,0.6130837434838716,0.7032237071363505
1,blue_yellow,1,0,2,2,0,0,0.8838234880142029,0.883823488014203,-1.1102230246251565e-16,0.883823488014203,0.6421130514447363,0.555669122467096,0.5663433134719912
1,blue_yellow,1,0,3,3,2,0,0.7747584471535592,0.7747587617297415,-3.1457618221431005e-07,0.7747587617297415,0.5004631932795451,0.6567866129448984,0.5853978363620808
1,blue_yellow,1,0,4,4,1,0,0.6798195586433617,1.0890230289607266,-0.4092034703173648,1.0890230289607266,0.5495358941183791,0.537929307216943,0.4639408095427331
1,blue_yellow,1,0,5,5,3,0,0.7368694367378263,1.0962691086239948,-0.3593996718861685,1.0962691086239948,0.5791977301786323,0.5038178133278608,0.5410925100259049
1,blue_yellow,1,0,6,6,5,0,1.031259374120816,1.0312604218131125,-1.0476922964741675e-06,1.0312604218131125,0.7066999583921348,0.5714864957242439,0.6112074911194749
1,blue_yellow,1,0,7,7,5,0,0.8708944435489765,0.8708944435489765,0.0,0.8708944435489765,0.6488541205233607,0.5473399260135567,0.5344898463882397
1,blue_yellow,1,0,8,8,10,0,0.9803385555153139,0.9803385555153142,-3.3306690738754696e-16,0.9803385555153142,0.6191093361790329,0.6696837588178419,0.6312393376712723
1,blue_yellow,1,0,9,9,13,0,0.9149964978014115,0.9423103968793536,-0.027313899077942128,0.9423103968793536,0.6233028382436027,0.5785776868945776,0.6381136202570751
1,blue_yellow,1,0,10,10,8,0,1.0138486987265474,1.013848698726548,-6.661338147750939e-16,1.013848698726548,0.5996698226012309,0.6282571635873698,0.7717003709442856
1,blue_yellow,1,0,11,11,9,0,0.9285877652646988,0.9285877652646994,-6.661338147750939e-16,0.9285877652646994,0.605934165965311,0.6105900139719399,0.6606886761748325
1,blue_yellow,1,0,12,12,16,0,0.7171634374188405,0.9651646915438101,-0.24800125412496965,0.9651646915438101,0.5451037953971253,0.4495545989032736,0.6463342811957855
1,blue_yellow,1,0,13,13,2,0,0.8258578519349851,0.9574129365197891,-0.13155508458480403,0.9574129365197891,0.6084078458031819,0.5164855167271876,0.6051612951125542
1,blue_yellow,1,0,14,14,3,0,0.6997569750737821,0.7213693019871497,-0.021612326913367563,0.7213693019871497,0.527778772870513,0.5233122597556756,0.5777000566059443
1,blue_yellow,1,0,15,15,3,0,0.7029675990106022,1.0301909901616966,-0.32722339115109433,1.0301909901616966,0.47721378666223885,0.5236306545334044,0.6825603870650063
1,blue_yellow,1,0,16,16,19,0,1.1669381201090951,1.166938131550635,-1.144153993770658e-08,1.166938131550635,0.7548369090059389,0.625650813185978,0.6180980127599599
1,blue_yellow,1,0,17,17,16,0,1.1332609801692861,1.1332610005660606,-2.0396774491615588e-08,1.1332610005660606,0.5965720478979248,0.7277270348740257,0.8138259945047576
